Date,New_cases,Total_cases
30-01-2020,1,1
31-01-2020,0,1
01-02-2020,0,1
02-02-2020,1,2
03-02-2020,1,3
04-02-2020,0,3
05-02-2020,0,3
06-02-2020,0,3
07-02-2020,0,3
08-02-2020,0,3
09-02-2020,0,3
10-02-2020,0,3
11-02-2020,0,3
12-02-2020,0,3
13-02-2020,0,3
14-02-2020,0,3
15-02-2020,0,3
16-02-2020,0,3
17-02-2020,0,3
18-02-2020,0,3
19-02-2020,0,3
20-02-2020,0,3
21-02-2020,0,3
22-02-2020,0,3
23-02-2020,0,3
24-02-2020,0,3
25-02-2020,0,3
26-02-2020,0,3
27-02-2020,0,3
28-02-2020,0,3
29-02-2020,0,3
01-03-2020,0,3
02-03-2020,2,5
03-03-2020,0,5
04-03-2020,22,27
05-03-2020,2,29
06-03-2020,2,31
07-03-2020,3,34
08-03-2020,5,39
09-03-2020,5,44
10-03-2020,6,50
11-03-2020,10,60
12-03-2020,14,74
13-03-2020,7,81
14-03-2020,3,84
15-03-2020,23,107
16-03-2020,7,114
17-03-2020,23,137
18-03-2020,14,151
19-03-2020,44,195
20-03-2020,0,195
21-03-2020,88,283
22-03-2020,58,341
23-03-2020,93,434
24-03-2020,85,519
25-03-2020,87,606
26-03-2020,43,649
27-03-2020,75,724
28-03-2020,0,724
29-03-2020,255,979
30-03-2020,92,1071
31-03-2020,180,1251
01-04-2020,385,1636
02-04-2020,329,1965
03-04-2020,336,2301
04-04-2020,601,2902
05-04-2020,472,3374
06-04-2020,693,4067
07-04-2020,354,4421
08-04-2020,853,5274
09-04-2020,591,5865
10-04-2020,547,6412
11-04-2020,1035,7447
12-04-2020,909,8356
13-04-2020,796,9152
14-04-2020,1211,10363
15-04-2020,1076,11439
16-04-2020,941,12380
17-04-2020,1007,13387
18-04-2020,991,14378
19-04-2020,1334,15712
20-04-2020,1553,17265
21-04-2020,1336,18601
22-04-2020,1383,19984
23-04-2020,1409,21393
24-04-2020,1684,23077
25-04-2020,1429,24506
26-04-2020,1990,26496
27-04-2020,1396,27892
28-04-2020,1543,29435
29-04-2020,1897,31332
30-04-2020,1718,33050
01-05-2020,1993,35043
02-05-2020,2293,37336
03-05-2020,2644,39980
04-05-2020,2553,42533
05-05-2020,3900,46433
06-05-2020,2958,49391
07-05-2020,3561,52952
08-05-2020,3390,56342
09-05-2020,3320,59662
10-05-2020,3277,62939
11-05-2020,4213,67152
12-05-2020,3604,70756
13-05-2020,3525,74281
14-05-2020,3722,78003
15-05-2020,3967,81970
16-05-2020,3970,85940
17-05-2020,4987,90927
18-05-2020,5242,96169
19-05-2020,4970,101139
20-05-2020,5611,106750
21-05-2020,5609,112359
22-05-2020,6088,118447
23-05-2020,6654,125101
24-05-2020,6767,131868
25-05-2020,6977,138845
26-05-2020,6535,145380
27-05-2020,6387,151767
28-05-2020,6566,158333
29-05-2020,7466,165799
30-05-2020,7964,173763
31-05-2020,8380,182143
01-06-2020,8392,190535
02-06-2020,8171,198706
03-06-2020,8909,207615
