Index, Open, High, Low, Current Value, Prev. Close, Ch (pts), Ch (%), 52 Wk High, 52 WK Low, Turnover (Rs. Cr), % in Total Turnover
S&P BSE SENSEX,35144.78,35254.88,34910.34,35171.27,34842.10,329.17,0.94,42273.87,25638.90,1462.59,39.99
S&P BSE SENSEX 50,10840.79,10874.61,10775.81,10849.24,10748.85,100.39,0.93,13037.58,7864.01,1787.96,48.89
S&P BSE SENSEX Next 50,28607.16,28691.94,28321.79,28400.97,28346.65,54.32,0.19,33052.61,20091.22,533.86,14.60
S&P BSE 100,10505.89,10538.40,10438.60,10502.48,10415.93,86.55,0.83,12536.11,7588.58,2322.68,63.51
S&P BSE Bharat 22 Index,2421.22,2426.65,2395.45,2408.01,2389.53,18.48,0.77,3800.89,1849.05,405.86,11.10
S&P BSE MidCap,13331.32,13392.42,13216.24,13258.44,13222.43,36.01,0.27,15930.78,9555.24,573.10,15.67
S&P BSE SmallCap,12666.80,12732.50,12625.58,12630.28,12606.14,24.14,0.19,14946.21,8622.24,739.66,20.22
S&P BSE 200,4402.17,4415.69,4374.70,4398.79,4365.72,33.07,0.76,5216.58,3168.27,2970.70,81.23
S&P BSE 150 MidCap Index,4410.28,4425.70,4379.21,4384.44,4383.01,1.43,0.03,5160.21,3122.70,951.62,26.02
S&P BSE 250 SmallCap Index,1729.91,1738.00,1722.61,1724.94,1717.97,6.97,0.41,2208.65,1192.51,406.63,11.12
S&P BSE 250 LargeMidCap Index,4155.22,4167.93,4129.81,4151.66,4121.12,30.54,0.74,4922.63,2989.87,3096.96,84.68
S&P BSE 400 MidSmallCap Index,3239.41,3251.73,3219.36,3223.19,3218.71,4.48,0.14,3880.29,2277.88,1358.25,37.14
S&P BSE 500,13590.19,13632.81,13509.11,13577.10,13479.59,97.51,0.72,16158.41,9758.33,3503.58,95.80
S&P BSE AllCap,3861.65,3874.22,3839.17,3858.04,3830.37,27.67,0.72,4591.17,2765.20,3655.09,99.94
S&P BSE LargeCap,4004.92,4016.65,3979.58,4004.93,3970.39,34.54,0.87,4780.32,2889.04,2342.34,64.04
S&P BSE SmallCap Select Index,2276.50,2289.26,2267.12,2269.40,2270.62,-1.22,-0.05,2742.87,1644.24,253.64,6.94
S&P BSE MidCap Select Index,5560.31,5589.84,5502.47,5522.21,5517.87,4.34,0.08,6876.25,4087.22,252.07,6.89
S&P BSE 100 LargeCap TMC Index,3816.69,3828.22,3792.71,3816.55,3784.10,32.45,0.86,4545.30,2753.24,2145.34,58.66
Index,Current Value,Prev. Close,Ch (pts),Ch (%),Date
S&P BSE SENSEX Next 50 TMC,5235.41,5221.47,13.94,0.27,6/26/2020 12:00:00 AM
S&P BSE LargeMidCap,4168.18,4135.21,32.97,0.80,6/26/2020 12:00:00 AM
S&P BSE MidSmallCap,3444.08,3436.21,7.87,0.23,6/26/2020 12:00:00 AM
S&P BSE 250 LargeMidCap 65:35 Index ,4247.05,4223.22,23.83,0.56,6/26/2020 12:00:00 AM
S&P BSE SENSEX 50 TMC,3551.28,3517.69,33.59,0.95,6/26/2020 12:00:00 AM

