States,Active,Recovered,Deaths,Confirmed
Andaman and Nicobar Islands,52,142,0,194
Andhra Pradesh,19814,20298,534,40646
Arunachal Pradesh,431,175,3,609
Assam,6490,14105,51,20646
Bihar,8767,14621,201,23589
Chandigarh,169,480,11,660
Chhattisgarh,1429,3512,23,4964
Dadra and Nagar Haveli and Daman and Diu,182,401,2,585
Delhi,17235,99301,3571,120107
Goa,1337,1946,21,3304
Gujarat,11351,32973,2106,46430
Haryana,5752,18718,327,24797
Himachal Pradesh,382,1024,11,1417
Jammu and Kashmir,5968,6558,231,12757
Jharkhand,2305,2570,46,4921
Karnataka,33211,20757,1147,55115
Kerala,6033,4995,38,11066
Ladakh,177,973,1,1151
Madhya Pradesh,5870,14514,697,21081
Maharashtra,120780,160357,11452,292589
Manipur,637,1163,0,1800
Meghalaya,335,66,2,403
Mizoram,122,160,0,282
Nagaland,551,405,0,956
Odisha,4697,11330,83,16110
Puducherry,793,1014,25,1832
Punjab,2830,6373,239,9442
Rajasthan,6617,20626,546,27789
Sikkim,176,90,0,266
Tamil Nadu,47785,110807,2315,160907
Telangana,13388,28705,403,42496
Tripura,679,1684,3,2366
Uttarakhand,1030,3021,51,4102
Uttar Pradesh,16445,27634,1084,45163
West Bengal,14709,22253,1049,38011
Cases being reassigned to states,163,0,0,163
Total India Cases,358692,653751,26273,1038716
