,predictions
143,14618.218309859154
144,14720.436619718308
145,14822.654929577462
146,14924.873239436616
147,15027.09154929577
148,15129.309859154924
149,15231.528169014078
150,15333.746478873232
151,15435.964788732386
152,15538.18309859154
153,15640.401408450694
154,15742.619718309848
155,15844.838028169002
156,15947.056338028156
157,16049.27464788731
158,16151.492957746465
159,16253.711267605619
160,16355.929577464773
161,16458.14788732393
162,16560.366197183084
163,16662.58450704224
164,16764.802816901396
165,16867.021126760552
166,16969.239436619708
167,17071.457746478864
168,17173.67605633802
169,17275.894366197175
170,17378.11267605633
171,17480.330985915487
172,17582.549295774643
173,17684.7676056338
174,17786.985915492955
175,17889.20422535211
176,17991.422535211266
177,18093.640845070422
178,18195.859154929578
179,18298.077464788734
180,18400.29577464789
181,18502.514084507045
182,18604.7323943662
183,18706.950704225357
184,18809.169014084513
185,18911.38732394367
186,19013.605633802825
187,19115.82394366198
188,19218.042253521136
189,19320.260563380292
190,19422.478873239448
191,19524.697183098604
192,19626.91549295776
193,19729.133802816916
194,19831.35211267607
195,19933.570422535227
196,20035.788732394383
197,20138.00704225354
198,20240.225352112695
199,20342.44366197185
200,20444.661971831007
201,20546.880281690163
202,20649.09859154932
