,Date,Predicted,Actual,Deviation
452539.9597,21-06-2020,452540,410461,-42079
467756.4795,22-06-2020,467756,425282,-42474
485323.6779,23-06-2020,485324,440215,-45109
502257.8555,24-06-2020,502258,456183,-46075
520413.2962,25-06-2020,520413,473105,-47308
537735.0712,26-06-2020,537735,490401,-47334
555916.5459,27-06-2020,555917,508953,-46964
574130.3295,28-06-2020,574130,528859,-45271
589346.8493,29-06-2020,589347,548318,-41029
606914.0477,30-06-2020,606914,566840,-40074
623848.2252,01-07-2020,623848,585493,-38355
642003.6659,02-07-2020,642004,604641,-37363
659325.441,03-07-2020,659325,625544,-33781
677506.9157,04-07-2020,677507,648315,-29192
695720.6992,05-07-2020,695721,673165,-22556
710937.219,06-07-2020,710937,697413,-13524
728504.4174,07-07-2020,728504,719665,-8839
745438.595,08-07-2020,745439,742417,-3022
763594.0357,09-07-2020,763594,767296,3702
780915.8107,10-07-2020,780916,793802,12886
799097.2855,11-07-2020,799097,820916,21819
817311.069,12-07-2020,817311,849553,32242
832527.5888,13-07-2020,832528,,
850094.7872,14-07-2020,850095,,
867028.9647,15-07-2020,867029,,
885184.4054,16-07-2020,885184,,
902506.1805,17-07-2020,902506,,
920687.6552,18-07-2020,920688,,
938901.4387,19-07-2020,938901,,
954117.9586,20-07-2020,954118,,
971685.157,21-07-2020,971685,,
988619.3345,22-07-2020,988619,,
1006774.775,23-07-2020,1006775,,
1024096.55,24-07-2020,1024097,,
1042278.025,25-07-2020,1042278,,
1060491.808,26-07-2020,1060492,,
1075708.328,27-07-2020,1075708,,
1093275.527,28-07-2020,1093276,,
1110209.704,29-07-2020,1110210,,
1128365.145,30-07-2020,1128365,,
1145686.92,31-07-2020,1145687,,
1163868.395,01-08-2020,1163868,,
1182082.178,02-08-2020,1182082,,
1197298.698,03-08-2020,1197299,,
1214865.896,04-08-2020,1214866,,
1231800.074,05-08-2020,1231800,,
1249955.515,06-08-2020,1249956,,
1267277.29,07-08-2020,1267277,,
1285458.764,08-08-2020,1285459,,
1303672.548,09-08-2020,1303673,,
1318889.068,10-08-2020,1318889,,
1336456.266,11-08-2020,1336456,,
