,Country_Region,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
0,Afghanistan,34451,1010,21216,12225.0,88.49850549757566,2.9317000957882215
1,Albania,3454,93,1946,1415.0,120.02223921050805,2.6925303995367686
2,Algeria,19195,1011,13743,4441.0,43.77318915766725,5.266996613701485
3,Andorra,855,52,803,0.0,1106.5812463599302,6.0818713450292385
4,Angola,506,26,118,362.0,1.5395724272679818,5.138339920948616
5,Antigua and Barbuda,74,3,57,14.0,75.5657217547586,4.0540540540540535
6,Argentina,100166,1845,42694,55627.0,221.6269011151197,1.8419423756564104
7,Armenia,31969,565,19633,11771.0,1078.855061733228,1.7673371078232036
8,Australia,9980,108,7769,2103.0,254.74135234496478,13.245301612384035
9,Austria,18897,708,16952,1237.0,209.8174631373245,3.7466264486426417
10,Azerbaijan,24041,306,15093,8642.0,237.11002127885158,1.2728255896177365
11,Bahamas,111,11,89,11.0,28.22646269021077,9.90990990990991
12,Bahrain,32941,108,28425,4408.0,1935.9032148299555,0.3278588992441031
13,Bangladesh,183795,2352,93614,87829.0,111.601001018991,1.2796866073614626
14,Barbados,103,7,90,6.0,35.84216918199818,6.7961165048543695
15,Belarus,64932,464,55380,9088.0,687.160484864468,0.7145937288240005
16,Belgium,62707,9782,17196,35729.0,541.0619299207152,15.599534342258439
17,Belize,37,2,20,15.0,9.305343530648534,5.405405405405406
18,Benin,1378,26,557,795.0,11.366637746904736,1.8867924528301887
19,Bhutan,84,0,76,8.0,10.886300368579027,0.0
20,Bolivia,48187,1807,14843,31537.0,412.8063076001954,3.7499740593936117
21,Bosnia and Herzegovina,6877,221,3115,3541.0,209.61255054003345,3.2136105860113418
22,Botswana,399,1,38,360.0,16.966990910540584,0.2506265664160401
23,Brazil,1864681,72100,1264843,527738.0,35112.38415386907,82.76564173577755
24,Brunei,141,3,138,0.0,32.229823787438605,2.127659574468085
25,Bulgaria,7252,268,3319,3665.0,104.36867529353692,3.6955322669608384
26,Burkina Faso,1036,53,869,114.0,4.956160464401804,5.115830115830116
27,Burma,331,6,261,64.0,0.6083463576428906,1.8126888217522656
28,Burundi,191,1,118,72.0,1.6062864163422066,0.5235602094240838
29,Cabo Verde,1623,19,748,856.0,291.91277509586536,1.170671595810228
30,Cambodia,156,0,133,23.0,0.933071778161467,0.0
31,Cameroon,15173,359,11928,2886.0,57.15768000619607,2.3660449482633625
32,Canada,109348,8829,72954,27566.0,1510.66806828359,37.37894904043873
33,Central African Republic,4288,53,1145,3090.0,88.78280595076694,1.2360074626865671
34,Chad,880,75,790,15.0,5.357406270198715,8.522727272727273
35,Chile,315041,6979,283902,24160.0,15018.461908970075,20.571902301970212
36,China,85117,4641,79907,569.0,177.36884330900563,35.4029612526308
37,Colombia,145362,5426,61186,78750.0,8654.089360948145,121.48417623504834
38,Comoros,317,7,296,14.0,36.45375145901253,2.2082018927444795
39,Congo (Brazzaville),2028,47,589,1392.0,36.75183378602604,2.317554240631164
40,Congo (Kinshasa),8033,189,3615,4229.0,8.969265376858091,2.352794721772688
41,Costa Rica,7596,30,2239,5327.0,149.11327072774583,0.3949447077409163
42,Cote d'Ivoire,12766,84,6654,6028.0,48.395886387567046,0.6579978066739778
43,Croatia,3722,119,2486,1117.0,90.66399562708209,3.197205803331542
44,Cuba,2426,87,2258,81.0,21.418577269680547,3.5861500412201157
45,Cyprus,1021,19,839,163.0,84.56459998293798,1.860920666013712
46,Czechia,13174,352,8247,4575.0,123.01822899692984,2.6719295582207376
47,Denmark,13147,609,12278,260.0,631.139421098575,4.704155723775684
48,Diamond Princess,712,13,651,48.0,0.0,1.8258426966292132
49,Djibouti,4972,56,4712,204.0,503.23784769666463,1.1263073209975865
50,Dominica,18,0,18,0.0,25.003125390673837,0.0
51,Dominican Republic,44532,897,21459,22176.0,410.5124824113488,2.0142818647264886
52,Ecuador,67870,5047,30283,32540.0,384.6838360239097,7.436275232061294
53,Egypt,82070,3858,24419,53793.0,80.19785877873348,4.700865115145606
54,El Salvador,9674,260,5634,3780.0,149.14739768317386,2.6876162910895185
55,Equatorial Guinea,3071,51,842,2178.0,218.89043717502327,1.6606968414197332
56,Eritrea,232,0,107,125.0,6.541795446515605,0.0
57,Estonia,2014,69,1895,50.0,151.8236553919636,3.4260178748758685
58,Eswatini,1351,20,668,663.0,116.4490537544692,1.4803849000740192
59,Ethiopia,7560,127,2430,5003.0,6.575995461101799,1.67989417989418
60,Fiji,26,0,18,8.0,2.900348488026023,0.0
61,Finland,7294,329,6800,165.0,131.64358843023595,4.510556621880999
62,France,208015,30007,78513,99495.0,3706.6286560722774,37.626885900581094
63,Gabon,5942,46,3004,2892.0,266.9688299738333,0.7741501178054527
64,Gambia,64,3,34,27.0,2.648278784307624,4.6875
65,Georgia,986,15,857,114.0,24.71689008378925,1.5212981744421907
66,Germany,199919,9071,184414,6434.0,3205.5701504799404,68.8370663784143
67,Ghana,24518,139,20187,4192.0,78.90465483719036,0.5669304184680642
68,Greece,3803,193,1374,2236.0,36.486420105581324,5.074940836181962
69,Grenada,23,0,23,0.0,20.44099218798603,0.0
70,Guatemala,29355,1219,4214,23922.0,163.85191716232038,4.152614546073923
71,Guinea,6141,37,4862,1242.0,46.760810648641964,0.6025077348965966
72,Guinea-Bissau,1842,26,773,1043.0,93.59765609517895,1.4115092290988056
73,Guyana,297,17,154,126.0,37.75940520672957,5.723905723905723
74,Haiti,6727,139,2924,3664.0,58.99566350739787,2.0662999851345325
75,Holy See,12,0,12,0.0,1483.3127317676144,0.0
76,Honduras,28090,774,2957,24359.0,283.60536832956944,2.7554289782840873
77,Hungary,4234,595,3036,603.0,43.828639749077425,14.052905054322155
78,Iceland,1896,10,1865,21.0,555.6043956043956,0.5274261603375527
79,India,878254,23174,553471,301609.0,2730.1684164175363,44.51956871167175
80,Indonesia,75699,3606,35638,36455.0,27.675489130790645,4.763603218008164
81,Iran,257303,12829,219993,24481.0,306.338794874851,4.985950416435098
82,Iraq,77506,3150,44724,29632.0,192.6931300123217,4.064201481175652
83,Ireland,25628,1746,23364,518.0,519.0169865259724,6.812860933354144
84,Israel,38670,362,19008,19300.0,446.7658347410058,0.9361261960175848
85,Italy,243061,34954,194928,13179.0,7891.030520653733,228.0572717771804
86,Jamaica,758,10,620,128.0,25.59806778489923,1.3192612137203166
87,Japan,21841,983,17845,3013.0,450.1892008098383,151.86583281689389
88,Jordan,1179,10,997,172.0,11.555266319976008,0.8481764206955047
89,Kazakhstan,58253,375,33814,24064.0,310.2407679898291,0.6437436698539131
90,Kenya,10105,185,2881,7039.0,18.792552904616407,1.8307768431469569
91,"Korea, South",13479,289,12204,986.0,26.290647151525704,2.1440759700274503
92,Kosovo,4931,102,2267,2562.0,272.37586211848867,2.0685459338876497
93,Kuwait,54894,390,44610,9894.0,1285.4042897856793,0.710460159580282
94,Kyrgyzstan,11117,147,3460,7510.0,170.3966054948422,1.32229918143384
95,Laos,19,0,19,0.0,0.261148426319583,0.0
96,Latvia,1173,30,1019,124.0,62.18846125706579,2.557544757033248
97,Lebanon,2334,36,1420,878.0,34.19558762641306,1.5424164524421593
98,Lesotho,233,2,32,199.0,10.87640483005734,0.8583690987124464
99,Liberia,1010,51,423,536.0,19.969642189487384,5.0495049504950495
100,Libya,1433,39,341,1053.0,20.854899526100425,2.721563154221912
101,Liechtenstein,84,1,81,2.0,220.2585415737997,1.1904761904761905
102,Lithuania,1869,79,1571,219.0,68.65540825723627,4.226859283039058
103,Luxembourg,4925,111,4086,728.0,786.7713778164018,2.253807106598985
104,MS Zaandam,9,2,0,7.0,0.0,22.222222222222218
105,Madagascar,4867,35,2378,2454.0,17.576095700920213,0.7191288267926854
106,Malawi,2364,38,557,1769.0,12.357582649828501,1.6074450084602367
107,Malaysia,8718,122,8519,77.0,26.935674901790446,1.3994035329203949
108,Maldives,2731,13,2284,434.0,505.2336358691832,0.4760161113145368
109,Mali,2411,121,1694,596.0,11.905682501767581,5.018664454583161
110,Malta,674,9,660,5.0,152.64789746772087,1.3353115727002969
111,Mauritania,5355,147,2363,2845.0,115.16971133373193,2.7450980392156863
112,Mauritius,342,10,330,2.0,26.891718372940954,2.9239766081871346
113,Mexico,299750,35006,234905,29839.0,7244.229150049464,360.2517454550545
114,Moldova,19382,642,12667,6073.0,480.47044556432473,3.3123516664946857
115,Monaco,109,4,97,8.0,277.74946488635203,3.669724770642202
116,Mongolia,230,0,203,27.0,7.015848496717192,0.0
117,Montenegro,1221,23,325,873.0,194.40755848944846,1.883701883701884
118,Morocco,15745,250,12283,3212.0,42.65717142504321,1.5878056525881232
119,Mozambique,1157,9,364,784.0,3.701756190563337,0.7778738115816768
120,Namibia,785,1,26,758.0,30.894370376667307,0.12738853503184713
121,Nepal,16801,38,8589,8174.0,57.66245911357208,0.22617701327301945
122,Netherlands,51237,6156,193,44888.0,619.9382050027823,38.11605680979677
123,New Zealand,1544,22,1497,25.0,32.018361617947534,1.4248704663212437
124,Nicaragua,2846,91,1993,762.0,42.96138275874874,3.1974701335207314
125,Niger,1099,68,992,39.0,4.540077357299874,6.1874431301182895
126,Nigeria,32558,740,13447,18371.0,15.794152144100295,2.272866883715216
127,North Macedonia,8111,382,4203,3526.0,389.3192792481448,4.70965355689804
128,Norway,8981,252,8138,591.0,165.66314508741726,2.8059236165237724
129,Oman,56015,257,36098,19660.0,1096.9090721811797,0.45880567705079
130,Pakistan,251625,5266,161917,84442.0,1397.4669281994716,14.735591425194508
131,Panama,45633,909,23039,21685.0,1057.600315938192,1.9919794885280389
132,Papua New Guinea,11,0,8,3.0,0.12294586794026666,0.0
133,Paraguay,2948,22,1275,1651.0,41.331757454928336,0.746268656716418
134,Peru,326326,11870,217111,97345.0,18757.242227399132,84.93450153073654
135,Philippines,56259,1534,16046,38679.0,51.34006475661379,2.7266748431362093
136,Poland,37891,1571,27148,9172.0,100.1173024634574,4.146103296297274
137,Portugal,46512,1660,30907,13945.0,456.14726401376447,3.5689714482284143
138,Qatar,103598,147,99743,3708.0,3595.829312822364,0.14189463117048592
139,Romania,32535,1884,21545,9106.0,169.12120701444175,5.790686952512679
140,Russia,726036,11318,500208,214510.0,37766.16688833174,90.60651249480937
141,Rwanda,1337,4,684,649.0,10.322563510208953,0.2991772625280479
142,Saint Kitts and Nevis,17,0,15,2.0,31.959693186945405,0.0
143,Saint Lucia,22,0,19,3.0,11.980678433145087,0.0
144,Saint Vincent and the Grenadines,35,0,29,6.0,31.546594319810357,0.0
145,San Marino,699,42,656,1.0,2059.6381637102954,6.008583690987124
146,Sao Tome and Principe,729,14,286,429.0,332.6321745201017,1.9204389574759944
147,Saudi Arabia,232259,2223,167138,62898.0,667.1450775634893,0.9571211449287218
148,Senegal,8135,148,5446,2541.0,48.58477071989671,1.819299323909035
149,Serbia,18360,393,13876,4091.0,210.1318817905159,2.1405228758169934
150,Seychelles,100,0,11,89.0,101.6880211511084,0.0
151,Sierra Leone,1635,63,1154,418.0,20.49646576996196,3.853211009174312
152,Singapore,45961,26,42285,3650.0,785.6120572759579,0.05656970039816366
153,Slovakia,1901,28,1493,380.0,34.81912645204091,1.4729089952656496
154,Slovenia,1841,111,1469,261.0,88.55508501480568,6.029331884845193
155,Somalia,3059,93,1264,1702.0,19.247202218757568,3.040209218698921
156,South Africa,276242,4079,134874,137289.0,465.7698559856912,1.4766038473512355
157,South Sudan,2021,38,333,1650.0,18.054751906178893,1.880257298367145
158,Spain,253908,28403,150376,75130.0,9391.66072119416,192.87709176618105
159,Sri Lanka,2617,11,1981,625.0,12.221404971221087,0.4203286205578907
160,Sudan,10250,650,5341,4259.0,23.375532212407013,6.3414634146341475
161,Suriname,741,18,495,228.0,126.31385156673497,2.42914979757085
162,Sweden,74898,5526,0,69372.0,13657.741773177435,135.68024075155668
163,Switzerland,32883,1968,29600,1315.0,379.9474453985144,5.984855396405437
164,Syria,394,16,126,252.0,2.25134404954054,4.060913705583757
165,Taiwan*,451,7,438,6.0,1.8936232970248907,1.5521064301552103
166,Tajikistan,6552,55,5228,1269.0,68.69622491596981,0.8394383394383395
167,Tanzania,509,21,183,305.0,0.852107987092757,4.12573673870334
168,Thailand,3217,58,3088,71.0,4.608883974146812,1.8029219769972025
169,Timor-Leste,24,0,24,0.0,1.8203303596214317,0.0
170,Togo,720,15,513,192.0,8.696978778284661,2.083333333333333
171,Trinidad and Tobago,133,8,120,5.0,9.503455184777897,6.015037593984963
172,Tunisia,1263,50,1076,137.0,10.686528661811387,3.9588281868566906
173,Turkey,212993,5363,194515,13115.0,252.54369958823472,2.51792312423413
174,US,3304942,135205,1006326,2208772.0,2027604.5213175851,10546.526615182638
175,Uganda,1025,0,972,53.0,2.2408779869263897,0.0
176,Ukraine,54647,1400,26971,26276.0,3672.584568922926,64.74425025435701
177,United Arab Emirates,54854,333,45140,9381.0,554.6186200760334,0.6070660298246253
178,United Kingdom,291154,44904,1378,244872.0,4254.778869586509,94.20320863296784
179,Uruguay,987,31,896,60.0,28.41328636360889,3.1408308004052685
180,Uzbekistan,12997,60,7852,5085.0,38.832719002328076,0.4616449949988458
181,Venezuela,9465,89,2671,6705.0,33.285338910687784,0.9403063919704172
182,Vietnam,372,0,350,22.0,0.38217116844612375,0.0
183,West Bank and Gaza,6230,36,942,5252.0,122.12295566564265,0.5778491171749599
184,Western Sahara,10,1,8,1.0,1.674116485025028,10.0
185,Yemen,1465,417,659,389.0,4.911827170202825,28.464163822525602
186,Zambia,1895,42,1412,441.0,10.307901085054816,2.2163588390501316
187,Zimbabwe,985,18,328,639.0,6.627227597901813,1.8274111675126905
