,,Country_Region,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
0,174,US,3304942,135205,1006326,2208772,2027604.521,10546.52662
1,23,Brazil,1864681,72100,1264843,527738,35112.38415,82.76564174
2,79,India,878254,23174,553471,301609,2730.168416,44.51956871
3,140,Russia,726036,11318,500208,214510,37766.16689,90.60651249
4,134,Peru,326326,11870,217111,97345,18757.24223,84.93450153
5,35,Chile,315041,6979,283902,24160,15018.46191,20.5719023
6,113,Mexico,299750,35006,234905,29839,7244.22915,360.2517455
7,178,United Kingdom,291154,44904,1378,244872,4254.77887,94.20320863
8,156,South Africa,276242,4079,134874,137289,465.769856,1.476603847
9,81,Iran,257303,12829,219993,24481,306.3387949,4.985950416
10,158,Spain,253908,28403,150376,75130,9391.660721,192.8770918
11,130,Pakistan,251625,5266,161917,84442,1397.466928,14.73559143
12,85,Italy,243061,34954,194928,13179,7891.030521,228.0572718
13,147,Saudi Arabia,232259,2223,167138,62898,667.1450776,0.957121145
14,173,Turkey,212993,5363,194515,13115,252.5436996,2.517923124
15,62,France,208015,30007,78513,99495,3706.628656,37.6268859
16,66,Germany,199919,9071,184414,6434,3205.57015,68.83706638
17,13,Bangladesh,183795,2352,93614,87829,111.601001,1.279686607
18,37,Colombia,145362,5426,61186,78750,8654.089361,121.4841762
19,32,Canada,109348,8829,72954,27566,1510.668068,37.37894904
20,138,Qatar,103598,147,99743,3708,3595.829313,0.141894631
21,6,Argentina,100166,1845,42694,55627,221.6269011,1.841942376
22,36,China,85117,4641,79907,569,177.3688433,35.40296125
23,53,Egypt,82070,3858,24419,53793,80.19785878,4.700865115
24,82,Iraq,77506,3150,44724,29632,192.69313,4.064201481
25,80,Indonesia,75699,3606,35638,36455,27.67548913,4.763603218
26,162,Sweden,74898,5526,0,69372,13657.74177,135.6802408
27,52,Ecuador,67870,5047,30283,32540,384.683836,7.436275232
28,15,Belarus,64932,464,55380,9088,687.1604849,0.714593729
29,16,Belgium,62707,9782,17196,35729,541.0619299,15.59953434
